Date,Last Price,Volume,SMAVG (15)
4/23/2020,2797.8,677686464,820224256
4/22/2020,2799.31,668873152,835662272
4/21/2020,2736.56,747021632,872629760
4/20/2020,2823.16,706781952,879903552
4/17/2020,2874.56,959584384,893896064
4/16/2020,2799.55,753452480,903446144
4/15/2020,2783.36,730687040,936531328
4/14/2020,2846.06,743625344,968969280
4/13/2020,2761.63,721112256,994650560
4/9/2020,2789.82,961378944,1060736256
4/8/2020,2749.98,801026816,1071895040
4/7/2020,2659.41,968741248,1106047488
4/6/2020,2663.68,1042822144,1130383616
4/3/2020,2488.65,925587136,1150252032
4/2/2020,2526.9,894982912,1180394624
4/1/2020,2470.5,909257024,1216216192
3/31/2020,2584.59,1223385216,1230415232
3/30/2020,2626.65,856128704,1226146176
3/27/2020,2541.47,916669312,1256452480
3/26/2020,2630.07,1102835584,1266651520
3/25/2020,2475.56,1249729920,1253839360
3/24/2020,2447.33,1217256320,1227381888
3/23/2020,2237.4,1128845312,1222663296
3/20/2020,2304.92,1712397312,1222435328
3/19/2020,2409.39,1128760320,1219199616
3/18/2020,2398.1,1313314176,1219681920
3/17/2020,2529.19,1333783040,1187900032
3/16/2020,2386.13,1340847360,1158360960
3/13/2020,2711.02,1377727488,1121711616
3/12/2020,2480.64,1432305024,1075231232
3/11/2020,2741.38,1122243456,1015688384
3/10/2020,2882.23,1159349120,972155456
3/9/2020,2746.56,1310723072,931092096
3/6/2020,2972.37,1069655936,875500928
3/5/2020,3023.94,910652800,838586240
3/4/2020,3130.12,852867200,813578304
3/3/2020,3003.37,1146478336,788165056
3/2/2020,3090.23,1125426176,744299072
2/28/2020,2954.22,1663860608,703098432
2/27/2020,2978.76,1135994368,629101568
2/26/2020,3116.39,836587072,593910080
2/25/2020,3128.21,890696512,577595968
2/24/2020,3225.89,791106176,558138624
2/21/2020,3337.75,680523136,563776832
2/20/2020,3373.23,539161792,556950400
2/19/2020,3386.15,469249664,557031168
2/18/2020,3370.29,543398464,560952960
2/14/2020,3380.16,476855584,565083712
